Date & Time,Sequence id,Structure id,Global DOPE score,RMSD,Execution time (sec)
2026-09-09 01:41:42,5PTI,5PTI,-67019.690,0.000,63.97
2026-09-09 01:47:25,1CTF,1CTF,-124364.370,7.676,140.14
2026-09-09 12:59:01,1MBA,1MBD,-1277889.080,7.573,5429.37
2026-09-09 15:08:04,1MBA,1CPC,-1256520.930,19.166,6318.33
2026-09-09 16:50:40,1MBD,1CPC,-1233626.770,21.358,6103.18
2026-09-09 17:01:26,1CTF,1CTF,-124364.370,7.676,83.94
2026-09-09 17:05:44,1CTF,1CTF,-124364.370,7.676,85.44
2026-09-09 18:41:07,1MBD,1MBA,-1572786.270,7.440,5336.89
2026-09-09 20:27:36,1CPC,1MBA,-1464143.560,19.525,6187.62
2026-09-09 22:06:48,1CPC,1MBD,-1427953.970,21.691,5905.38
